time_step,particle_count,average_error,timestamp,weight_type
0,100,2.777778,0,naive
1,100,3.747155,1000,naive
2,100,2.951733,2000,naive
3,100,1.807414,3000,naive
4,100,1.855431,4000,naive
5,100,1.879377,5000,naive
6,100,1.666539,6000,naive
7,100,2.485708,7000,naive
8,100,2.716239,8000,naive
9,100,3.291304,9000,naive
10,100,3.463725,10000,naive
11,100,3.843236,11000,naive
12,100,4.212876,12000,naive
13,100,4.741911,13000,naive
14,100,5.133420,14000,naive
15,100,5.236501,15000,naive
16,100,5.391741,16000,naive
17,100,5.878453,17000,naive
18,100,5.701449,18000,naive
19,100,5.734570,19000,naive
20,100,6.071135,20000,naive
21,100,6.192606,21000,naive
22,100,6.056992,22000,naive
23,100,5.548486,23000,naive
24,100,5.391669,24000,naive
25,100,5.141555,25000,naive
26,100,5.182194,26000,naive
27,100,5.253134,27000,naive
28,100,4.987896,28000,naive
29,100,4.747397,29000,naive
30,100,4.410928,30000,naive
31,100,4.115797,31000,naive
32,100,3.870583,32000,naive
33,100,3.787218,33000,naive
34,100,3.410924,34000,naive
35,100,3.012281,35000,naive
36,100,2.960036,36000,naive
37,100,2.640428,37000,naive
38,100,2.542202,38000,naive
39,100,2.459524,39000,naive
40,100,2.551299,40000,naive
41,100,2.673856,41000,naive
42,100,2.580434,42000,naive
43,100,2.755597,43000,naive
44,100,2.676630,44000,naive
45,100,2.639403,45000,naive
46,100,2.909916,46000,naive
47,100,2.724154,47000,naive
48,100,2.657392,48000,naive
49,100,2.548550,49000,naive
50,100,2.557912,50000,naive
51,100,2.662707,51000,naive
52,100,2.424214,52000,naive
53,100,2.560507,53000,naive
54,100,2.483632,54000,naive
55,100,2.481828,55000,naive
56,100,2.299815,56000,naive
57,100,1.798851,57000,naive
58,100,1.563080,58000,naive
59,100,1.753463,59000,naive
60,100,1.758834,60000,naive
61,100,1.401487,61000,naive
62,100,1.144076,62000,naive
63,100,1.268080,63000,naive
64,100,1.363502,64000,naive
65,100,1.256671,65000,naive
66,100,1.386220,66000,naive
67,100,1.732167,67000,naive
68,100,1.856367,68000,naive
69,100,1.627814,69000,naive
70,100,1.912212,70000,naive
71,100,1.907528,71000,naive
72,100,1.896908,72000,naive
73,100,1.814942,73000,naive
74,100,2.157005,74000,naive
75,100,2.314205,75000,naive
76,100,2.326938,76000,naive
77,100,2.362621,77000,naive
78,100,2.193611,78000,naive
79,100,2.236913,79000,naive
80,100,2.229585,80000,naive
81,100,2.117570,81000,naive
82,100,1.987777,82000,naive
83,100,2.207049,83000,naive
84,100,2.236200,84000,naive
85,100,2.184012,85000,naive
86,100,2.091264,86000,naive
87,100,2.131172,87000,naive
88,100,2.168934,88000,naive
89,100,2.290169,89000,naive
90,100,1.970809,90000,naive
91,100,2.067038,91000,naive
92,100,2.053779,92000,naive
93,100,2.153769,93000,naive
94,100,2.242534,94000,naive
95,100,2.152880,95000,naive
96,100,2.236139,96000,naive
97,100,2.147040,97000,naive
98,100,2.024283,98000,naive
99,100,2.034116,99000,naive
100,100,1.866104,100000,naive
101,100,2.007465,101000,naive
102,100,2.529180,102000,naive
103,100,2.655615,103000,naive
104,100,2.999851,104000,naive
105,100,3.207944,105000,naive
106,100,3.173855,106000,naive
107,100,3.212269,107000,naive
108,100,3.185266,108000,naive
109,100,3.199462,109000,naive
110,100,3.153906,110000,naive
111,100,3.114182,111000,naive
112,100,3.118573,112000,naive
113,100,2.832475,113000,naive
114,100,2.740902,114000,naive
115,100,2.833406,115000,naive
116,100,2.941504,116000,naive
117,100,2.538565,117000,naive
118,100,2.241433,118000,naive
119,100,2.284080,119000,naive
120,100,2.199063,120000,naive
121,100,2.144543,121000,naive
122,100,2.154771,122000,naive
123,100,2.064541,123000,naive
124,100,2.086202,124000,naive
125,100,2.048211,125000,naive
126,100,2.427967,126000,naive
127,100,2.609045,127000,naive
128,100,2.651841,128000,naive
129,100,2.627332,129000,naive
130,100,2.575656,130000,naive
131,100,2.753370,131000,naive
132,100,2.917281,132000,naive
133,100,2.878737,133000,naive
134,100,2.918685,134000,naive
135,100,2.996080,135000,naive
136,100,2.995275,136000,naive
137,100,2.964109,137000,naive
138,100,2.803506,138000,naive
139,100,3.016205,139000,naive
140,100,2.922526,140000,naive
141,100,2.755904,141000,naive
142,100,2.907623,142000,naive
143,100,2.869477,143000,naive
144,100,2.750882,144000,naive
145,100,2.753796,145000,naive
146,100,2.966867,146000,naive
147,100,2.834740,147000,naive
148,100,2.694173,148000,naive
149,100,2.442134,149000,naive
150,100,2.214100,150000,naive
151,100,1.974125,151000,naive
152,100,1.978330,152000,naive
153,100,1.954145,153000,naive
154,100,1.767507,154000,naive
155,100,1.614073,155000,naive
156,100,1.628272,156000,naive
157,100,1.721183,157000,naive
158,100,1.310706,158000,naive
159,100,1.235087,159000,naive
160,100,1.195507,160000,naive
161,100,1.206928,161000,naive
162,100,1.254739,162000,naive
163,100,1.374420,163000,naive
164,100,1.384470,164000,naive
165,100,1.388297,165000,naive
166,100,1.317391,166000,naive
167,100,1.340216,167000,naive
168,100,1.307785,168000,naive
169,100,1.411316,169000,naive
170,100,1.490171,170000,naive
171,100,1.559406,171000,naive
172,100,1.531079,172000,naive
173,100,1.352756,173000,naive
174,100,1.314756,174000,naive
175,100,1.247272,175000,naive
176,100,0.991808,176000,naive
177,100,0.916425,177000,naive
178,100,0.928731,178000,naive
179,100,0.627935,179000,naive
180,100,0.712902,180000,naive
181,100,0.657117,181000,naive
182,100,0.631455,182000,naive
183,100,0.606875,183000,naive
0,100,2.777778,0,bayesian
1,100,3.975664,1000,bayesian
2,100,2.529233,2000,bayesian
3,100,2.105308,3000,bayesian
4,100,1.741380,4000,bayesian
5,100,1.691204,5000,bayesian
6,100,1.823376,6000,bayesian
7,100,2.420715,7000,bayesian
8,100,2.182165,8000,bayesian
9,100,3.025777,9000,bayesian
10,100,3.628270,10000,bayesian
11,100,3.879580,11000,bayesian
12,100,4.321252,12000,bayesian
13,100,4.519262,13000,bayesian
14,100,4.247912,14000,bayesian
15,100,4.677010,15000,bayesian
16,100,4.506421,16000,bayesian
17,100,4.720785,17000,bayesian
18,100,4.560472,18000,bayesian
19,100,4.473190,19000,bayesian
20,100,4.231174,20000,bayesian
21,100,3.917656,21000,bayesian
22,100,3.867341,22000,bayesian
23,100,3.682143,23000,bayesian
24,100,3.623080,24000,bayesian
25,100,3.482451,25000,bayesian
26,100,3.633048,26000,bayesian
27,100,3.518751,27000,bayesian
28,100,3.487704,28000,bayesian
29,100,3.466202,29000,bayesian
30,100,3.472085,30000,bayesian
31,100,3.436189,31000,bayesian
32,100,3.389557,32000,bayesian
33,100,3.582872,33000,bayesian
34,100,3.816724,34000,bayesian
35,100,3.714511,35000,bayesian
36,100,3.539155,36000,bayesian
37,100,3.352345,37000,bayesian
38,100,3.293170,38000,bayesian
