svid,constellation_type,constellation_name,total_measurements,tracking_duration_sec,avg_cn0_dbhz,max_cn0_dbhz,min_cn0_dbhz
30,6,GALILEO,442,111.001,36.92058814381043,46.79999923706055,13.5
14,1,GPS,336,111.001,34.58363093080975,46.70000076293945,25.0
17,1,GPS,111,111.001,31.33243242899577,39.79999923706055,28.299999237060547
13,1,GPS,111,111.001,34.97297285268973,42.70000076293945,28.700000762939453
22,1,GPS,115,111.001,35.64782590451448,43.29999923706055,25.799999237060547
5,1,GPS,137,111.001,33.15693430656934,44.900001525878906,27.399999618530273
21,5,BEIDOU,639,111.001,31.156212827595933,44.29999923706055,5.010000228881836
9,5,BEIDOU,278,111.001,30.91910075455261,41.400001525878906,5.010000228881836
7,6,GALILEO,556,111.001,36.99172658714459,48.099998474121094,24.700000762939453
27,6,GALILEO,224,111.001,36.19553568533489,45.099998474121094,26.5
8,3,GLONASS,216,111.001,29.95833338631524,42.20000076293945,16.5
10,5,BEIDOU,221,111.001,32.468778204594265,42.099998474121094,22.799999237060547
29,6,GALILEO,264,111.001,33.05643938526963,44.70000076293945,22.399999618530273
24,5,BEIDOU,217,111.001,29.652534476073654,37.900001525878906,19.100000381469727
12,3,GLONASS,112,111.001,35.077678424971445,40.20000076293945,31.0
1,3,GLONASS,110,111.001,29.643636391379616,40.5,22.299999237060547
11,3,GLONASS,111,111.001,36.211711711711715,42.70000076293945,30.200000762939453
19,6,GALILEO,119,111.001,24.343109315182982,31.200000762939453,5.010000228881836
26,5,BEIDOU,213,111.001,32.2366196538361,46.099998474121094,12.399999618530273
35,5,BEIDOU,27,25.999,22.040740754869248,23.200000762939453,20.200000762939453
