RINEX Analysis Report
Generated: 2025-09-29 18:05:20

HEADER INFORMATION
version,4.01
type,O
program,GnssLogger
run_by,samsung 15
date,20250929 131928 UTC
marker_name,Google GnssLogger
receiver_number,Unknown
receiver_type,GnssLogger
receiver_version,v3.1.0.3
first_obs_time,2025    09    29    13    19   28.0000000
glonass_freq,6 R01  1 R07  5 R08  6 R10 -7 R11  0 R12 -1

TIME SPAN
start_time,2025-09-29 13:19:28.999999
end_time,2025-09-29 13:21:16.999999
duration_seconds,108.0
duration_minutes,1.80

CONSTELLATION SUMMARY
constellation,name,total_observations,unique_satellites
G,GPS,1068,10
E,Galileo,653,6
C,BeiDou,732,10
R,GLONASS,652,6

SATELLITE DETAILS
satellite_id,constellation,constellation_name,total_epochs,tracking_duration_sec
G07,G,GPS,109,108.0
G22,G,GPS,109,108.0
G30,G,GPS,109,108.0
G14,G,GPS,109,108.0
G13,G,GPS,107,108.0
G05,G,GPS,109,108.0
G09,G,GPS,109,108.0
G21,G,GPS,109,108.0
E30,E,Galileo,109,108.0
E27,E,Galileo,109,108.0
C21,C,BeiDou,109,108.0
E07,E,Galileo,109,108.0
C26,C,BeiDou,109,108.0
R08,R,GLONASS,109,108.0
R11,R,GLONASS,109,108.0
E29,E,Galileo,109,108.0
R10,R,GLONASS,109,108.0
C09,C,BeiDou,109,108.0
R01,R,GLONASS,108,108.0
C14,C,BeiDou,109,108.0
R12,R,GLONASS,109,108.0
E21,E,Galileo,109,108.0
R07,R,GLONASS,108,108.0
C10,C,BeiDou,108,108.0
E19,E,Galileo,108,107.0
G17,G,GPS,107,107.0
C22,C,BeiDou,3,60.0
G08,G,GPS,91,102.0
C07,C,BeiDou,98,97.0
C29,C,BeiDou,62,94.0
C05,C,BeiDou,23,26.0
C24,C,BeiDou,2,1.0

SIGNAL QUALITY STATISTICS
satellite_id,observation_type,count,mean,min,max,std
G07,C1C,109,22431661.966,22417659.777,22445657.695,8190.668
G07,L1C,109,-126208.137,-276252.130,26452.872,88638.879
G07,D1C,109,-2802.569,-2890.567,-2716.349,51.147
G07,S1C,109,43.097,39.800,45.900,1.413
G22,C1C,109,20773803.375,20756513.065,20791246.420,10163.922
G22,L1C,109,164247.025,151702.372,178563.454,7835.989
G22,D1C,109,248.974,171.201,325.088,40.820
G22,S1C,109,41.726,35.600,45.300,2.178
G30,C1C,108,21004931.114,21000163.389,21009727.069,2811.322
G30,L1C,108,-37374.419,-138973.002,66917.400,60568.318
G30,D1C,108,-1906.249,-1991.688,-1823.117,48.775
G30,S1C,108,42.881,39.600,45.200,1.614
G30,C5Q,109,21004938.533,21000176.280,21009740.859,2799.042
G30,L5Q,109,-21584.608,-97539.162,56184.842,45025.744
G30,D5Q,109,-1423.179,-1486.813,-1361.263,36.298
G30,S5Q,109,36.178,32.000,41.500,2.484
G14,C1C,109,20244071.942,20236083.251,20252222.878,4723.471
G14,L1C,109,85723.673,51195.377,122020.527,20784.453
G14,D1C,109,-655.520,-731.730,-579.648,40.709
G14,S1C,109,42.954,40.600,46.200,1.717
G14,C5Q,109,20244087.091,20236101.239,20252237.867,4722.477
G14,L5Q,109,71665.439,45880.744,98765.542,15517.822
G14,D5Q,109,-489.496,-546.878,-433.757,30.105
G14,S5Q,109,34.069,30.600,39.100,1.899
G13,C1C,107,22265795.839,22236869.336,22294740.972,17074.421
G13,L1C,107,3392010.167,166840.380,4148164.784,1500372.104
G13,D1C,107,1377.257,1290.207,1463.650,51.155
G13,S1C,107,37.377,27.900,43.900,3.509
G05,C1C,109,22279226.426,22278394.788,22280287.678,565.195
G05,L1C,109,33351.909,-38647.164,106837.659,42622.998
G05,D1C,109,-1346.826,-1417.741,-1268.167,37.648
G05,S1C,109,34.222,31.900,40.200,2.012
G09,C1C,109,23177397.023,23146257.080,23208681.364,18265.092
G09,L1C,109,1929980.144,-353898.254,10730402.341,4298388.750
G09,D1C,109,-4477.029,-4557.238,-4397.128,45.526
G09,S1C,109,29.755,23.200,37.100,4.449
G09,C5Q,62,23177200.018,23158940.099,23200591.765,10646.098
G09,L5Q,62,3484636.878,3028963.384,8001242.149,968906.751
G09,D5Q,62,-3341.901,-3406.386,-3187.666,36.663
G09,S5Q,62,27.163,18.400,33.800,3.128
G21,C1C,109,21527352.008,21511207.601,21543663.132,9502.849
G21,L1C,109,629925.938,467691.528,793902.521,95516.403
G21,D1C,109,-3020.249,-3097.488,-2944.250,40.403
G21,S1C,109,35.411,31.700,40.200,1.930
G21,C5Q,109,21527365.097,21511216.595,21543678.722,9502.963
G21,L5Q,109,1225596.360,1104488.346,1348054.926,71334.054
G21,D5Q,109,-2255.018,-2310.610,-2203.489,30.391
G21,S5Q,109,29.993,25.300,35.200,2.224
E30,C1C,109,25602804.879,25580323.011,25625349.440,13178.597
E30,L1C,109,3930896.303,511168.181,7929378.054,3616751.737
